# ::id 902002
# ::tok " Because it takes incalculable strength just to live in those deep strata and withstand their pressure . "
# ::alignments 1-1.1.3.1 3-1.1.3.2.2 4-1.1.3.2.3 5-1.1.3.2.4 6-1.1.3.2.5.1.2 8-1.1.3.2.5.1.4 9-1.1.3.2.5.1.5.1 10-1.1.3.2.5.1.5.2 11-1.1.3.2.5.1.5.3 12-1.1.3.2.5.1.5.4 13-1.1.3.2.5.2 14-1.1.3.2.5.3.2 15-1.1.3.2.5.3.3.1 16-1.1.3.2.5.3.3.2
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label)
           :P (v4 / label)
           :A (v5 / label
                  :L (v6 / label~e.1)
                  :H (v7 / label
                         :D (v8 / label~e.3)
                         :D (v9 / label~e.4)
                         :S (v10 / label~e.5)
                         :A (v11 / label
                                 :H (v12 / label
                                         :A (v15 / label)
                                         :D (v16 / label~e.6)
                                         :P (v17 / label~e.8)
                                         :A (v18 / label
                                                 :R (v22 / label~e.9)
                                                 :E (v23 / label~e.10)
                                                 :E (v24 / label~e.11)
                                                 :C (v25 / label~e.12)))
                                 :L (v13 / label~e.13)
                                 :H (v14 / label
                                         :A (v19 / label)
                                         :P (v20 / label~e.14)
                                         :A (v21 / label
                                                 :E (v26 / label~e.15)
                                                 :C (v27 / label~e.16))
                                         :D v16))))))
